assembly_id	taxid	num_SCG_hits	uniq_SCG_hits	perc_comp	perc_redund	num_SCG_hits_after_len_filt	in_final_tree
GCA_002687975.1_ASM268797v1_genomic	NA	41	40	53.95	1.32	38	Yes
GCA_002688015.1_ASM268801v1_genomic	NA	42	40	55.26	2.63	39	Yes
GCA_002688165.1_ASM268816v1_genomic	NA	39	38	51.32	1.32	32	Yes
GCA_002688335.1_ASM268833v1_genomic	NA	39	37	51.32	2.63	34	Yes
GCA_002688415.1_ASM268841v1_genomic	NA	49	48	64.47	1.32	43	Yes
GCA_002688755.1_ASM268875v1_genomic	NA	46	41	60.53	6.58	44	Yes
GCA_002688875.1_ASM268887v1_genomic	NA	41	41	53.95	0.00	33	Yes
GCA_002689985.1_ASM268998v1_genomic	NA	38	37	50.00	1.32	37	Yes
GCA_002690445.1_ASM269044v1_genomic	NA	40	38	52.63	2.63	34	Yes
GCA_002731115.1_ASM273111v1_genomic	NA	43	40	56.58	3.95	42	Yes
GCA_002763035.1_ASM276303v1_genomic	NA	39	39	51.32	0.00	35	Yes
GCA_002763075.1_ASM276307v1_genomic	NA	47	46	61.84	1.32	43	Yes
GCA_002763085.1_ASM276308v1_genomic	NA	46	45	60.53	1.32	40	Yes
GCA_002763115.1_ASM276311v1_genomic	NA	54	52	71.05	2.63	50	Yes
GCA_002763155.1_ASM276315v1_genomic	NA	46	45	60.53	1.32	41	Yes
GCA_002763165.1_ASM276316v1_genomic	NA	47	46	61.84	1.32	43	Yes
GCA_002780285.1_ASM278028v1_genomic	NA	52	52	68.42	0.00	51	Yes
GCA_002783845.1_ASM278384v1_genomic	NA	59	59	77.63	0.00	45	Yes
GCA_002788575.1_ASM278857v1_genomic	NA	34	33	44.74	1.32	26	Yes
GCA_002792675.1_ASM279267v1_genomic	NA	44	44	57.89	0.00	38	Yes
GCA_002794175.1_ASM279417v1_genomic	NA	44	42	57.89	2.63	40	Yes
GCA_002794195.1_ASM279419v1_genomic	NA	49	36	64.47	18.42	45	Yes
GCA_002841095.1_ASM284109v1_genomic	NA	47	45	61.84	2.63	27	Yes
GCA_002842715.1_ASM284271v1_genomic	NA	39	39	51.32	0.00	31	Yes
GCA_003086415.2_ASM308641v2_genomic	NA	42	41	55.26	1.32	39	Yes
GCA_003229945.1_ASM322994v1_genomic	NA	22	20	28.95	2.63	20	Yes
GCA_003344645.1_ASM334464v1_genomic	NA	55	54	72.37	1.32	52	Yes
GCA_003554465.1_ASM355446v1_genomic	NA	39	37	51.32	2.63	36	Yes
GCA_003564875.1_ASM356487v1_genomic	NA	31	29	40.79	2.63	29	Yes
GCA_003568775.1_ASM356877v1_genomic	NA	56	55	73.68	1.32	53	Yes
GCA_003660825.1_ASM366082v1_genomic	NA	54	50	71.05	5.26	49	Yes
GCA_003660845.1_ASM366084v1_genomic	NA	40	34	52.63	10.53	35	Yes
GCA_003660885.1_ASM366088v1_genomic	NA	35	35	46.05	0.00	33	Yes
GCA_003660925.1_ASM366092v1_genomic	NA	53	53	69.74	0.00	47	Yes
GCA_003660945.1_ASM366094v1_genomic	NA	46	42	60.53	5.26	40	Yes
GCA_003663045.1_ASM366304v1_genomic	NA	69	66	90.79	3.95	59	Yes
GCA_003663075.1_ASM366307v1_genomic	NA	46	45	60.53	1.32	43	Yes
GCA_003663105.1_ASM366310v1_genomic	NA	49	38	64.47	14.47	45	Yes
GCA_003663115.1_ASM366311v1_genomic	NA	74	72	97.37	2.63	64	Yes
GCA_003663165.1_ASM366316v1_genomic	NA	53	53	69.74	0.00	45	Yes
GCA_003663175.1_ASM366317v1_genomic	NA	65	64	85.53	1.32	61	Yes
GCA_003693875.1_ASM369387v1_genomic	NA	37	37	48.68	0.00	36	Yes
GCA_003694055.1_ASM369405v1_genomic	NA	46	45	60.53	1.32	43	Yes
GCA_004299525.1_ASM429952v1_genomic	NA	51	51	67.11	0.00	48	Yes
GCA_009694725.1_ASM969472v1_genomic	NA	44	44	57.89	0.00	41	Yes
GCA_009694755.1_ASM969475v1_genomic	NA	45	45	59.21	0.00	41	Yes
GCA_009903895.1_ASM990389v1_genomic	NA	47	41	61.84	7.89	44	Yes
GCA_009992265.1_ASM999226v1_genomic	NA	27	27	35.53	0.00	21	Yes
GCA_009992305.1_ASM999230v1_genomic	NA	45	45	59.21	0.00	41	Yes
GCA_009992315.1_ASM999231v1_genomic	NA	29	25	38.16	5.26	19	Yes
GCA_011040285.1_ASM1104028v1_genomic	NA	65	62	85.53	3.95	59	Yes
GCA_011040675.1_ASM1104067v1_genomic	NA	39	39	51.32	0.00	35	Yes
GCA_011041355.1_ASM1104135v1_genomic	NA	33	32	43.42	1.32	28	Yes
GCA_011041525.1_ASM1104152v1_genomic	NA	64	64	84.21	0.00	52	Yes
GCA_011042275.1_ASM1104227v1_genomic	NA	57	54	75.00	3.95	43	Yes
GCA_011049525.1_ASM1104952v1_genomic	NA	40	38	52.63	2.63	35	Yes
GCA_011049915.1_ASM1104991v1_genomic	NA	28	28	36.84	0.00	24	Yes
GCA_011050875.1_ASM1105087v1_genomic	NA	48	47	63.16	1.32	44	Yes
GCA_011380095.1_ASM1138009v1_genomic	NA	70	69	92.11	1.32	60	Yes
GCA_012960605.1_ASM1296060v1_genomic	NA	44	44	57.89	0.00	39	Yes
GCA_012961245.1_ASM1296124v1_genomic	NA	51	49	67.11	2.63	41	Yes
GCA_013215525.1_ASM1321552v1_genomic	NA	58	56	76.32	2.63	54	Yes
GCA_013329035.1_ASM1332903v1_genomic	NA	57	55	75.00	2.63	54	Yes
GCA_013329215.1_ASM1332921v1_genomic	NA	58	55	76.32	3.95	55	Yes
GCA_013330745.1_ASM1333074v1_genomic	NA	49	48	64.47	1.32	44	Yes
GCA_013331705.1_ASM1333170v1_genomic	NA	49	48	64.47	1.32	43	Yes
GCA_013331775.1_ASM1333177v1_genomic	NA	59	55	77.63	5.26	50	Yes
GCA_013331935.1_ASM1333193v1_genomic	NA	59	59	77.63	0.00	55	Yes
GCA_013335235.1_ASM1333523v1_genomic	NA	54	53	71.05	1.32	47	Yes
GCA_013824915.1_ASM1382491v1_genomic	NA	46	45	60.53	1.32	44	Yes
GCA_014189675.1_ASM1418967v1_genomic	NA	67	67	88.16	0.00	56	Yes
GCA_014189685.1_ASM1418968v1_genomic	NA	70	70	92.11	0.00	63	Yes
GCA_014189715.1_ASM1418971v1_genomic	NA	69	69	90.79	0.00	60	Yes
GCA_014189725.1_ASM1418972v1_genomic	NA	45	45	59.21	0.00	39	Yes
GCA_014189735.1_ASM1418973v1_genomic	NA	36	36	47.37	0.00	29	Yes
GCA_014189775.1_ASM1418977v1_genomic	NA	39	36	51.32	3.95	28	Yes
GCA_014239585.1_ASM1423958v1_genomic	NA	55	55	72.37	0.00	47	Yes
GCA_014240435.1_ASM1424043v1_genomic	NA	45	44	59.21	1.32	38	Yes
GCA_014240455.1_ASM1424045v1_genomic	NA	54	54	71.05	0.00	44	Yes
GCA_014727915.1_ASM1472791v1_genomic	NA	70	68	92.11	2.63	62	Yes
GCA_014728335.1_ASM1472833v1_genomic	NA	36	34	47.37	2.63	33	Yes
GCA_014728745.1_ASM1472874v1_genomic	NA	44	42	57.89	2.63	39	Yes
GCA_014729705.1_ASM1472970v1_genomic	NA	61	56	80.26	9.21	51	Yes
GCA_015520065.1_ASM1552006v1_genomic	NA	46	45	60.53	1.32	44	Yes
GCA_015661515.1_ASM1566151v1_genomic	NA	65	65	85.53	0.00	57	Yes
GCA_015662495.1_ASM1566249v1_genomic	NA	30	30	39.47	0.00	27	Yes
GCA_016176815.1_ASM1617681v1_genomic	NA	38	36	50.00	2.63	33	Yes
GCA_016180545.1_ASM1618054v1_genomic	NA	24	23	31.58	1.32	21	Yes
GCA_016181865.1_ASM1618186v1_genomic	NA	34	33	44.74	1.32	28	Yes
GCA_016181885.1_ASM1618188v1_genomic	NA	44	43	57.89	1.32	42	Yes
GCA_016181895.1_ASM1618189v1_genomic	NA	43	43	56.58	0.00	36	Yes
GCA_016181905.1_ASM1618190v1_genomic	NA	38	36	50.00	2.63	33	Yes
GCA_016186365.1_ASM1618636v1_genomic	NA	48	46	63.16	2.63	47	Yes
GCA_016186375.1_ASM1618637v1_genomic	NA	45	44	59.21	1.32	43	Yes
GCA_016186425.1_ASM1618642v1_genomic	NA	42	42	55.26	0.00	41	Yes
GCA_016188825.1_ASM1618882v1_genomic	NA	41	41	53.95	0.00	41	Yes
GCA_016188895.1_ASM1618889v1_genomic	NA	46	45	60.53	1.32	37	Yes
GCA_016196285.1_ASM1619628v1_genomic	NA	42	42	55.26	0.00	36	Yes
GCA_016201665.1_ASM1620166v1_genomic	NA	50	44	65.79	7.89	42	Yes
GCA_016204145.1_ASM1620414v1_genomic	NA	38	38	50.00	0.00	36	Yes
GCA_016211995.1_ASM1621199v1_genomic	NA	48	46	63.16	2.63	44	Yes
GCA_016234025.1_ASM1623402v1_genomic	NA	36	36	47.37	0.00	34	Yes
GCA_016234065.1_ASM1623406v1_genomic	NA	37	37	48.68	0.00	35	Yes
GCA_016782615.1_ASM1678261v1_genomic	NA	52	50	68.42	2.63	46	Yes
GCA_016783785.1_ASM1678378v1_genomic	NA	37	37	48.68	0.00	30	Yes
GCA_016783795.1_ASM1678379v1_genomic	NA	38	34	50.00	5.26	35	Yes
GCA_016784085.1_ASM1678408v1_genomic	NA	37	36	48.68	1.32	32	Yes
GCA_016784245.1_ASM1678424v1_genomic	NA	37	35	48.68	2.63	33	Yes
GCA_016866915.1_JGI_2017-08-21_genomic	NA	44	44	57.89	0.00	34	Yes
GCA_016866935.1_JGI_2017-08-21_genomic	NA	45	45	59.21	0.00	41	Yes
GCA_016866955.1_JGI_2017-08-21_genomic	NA	44	44	57.89	0.00	40	Yes
GCA_016866975.1_JGI_2017-08-21_genomic	NA	48	47	63.16	2.63	45	Yes
GCA_016866995.1_JGI_2017-08-21_genomic	NA	48	46	63.16	2.63	43	Yes
GCA_016867035.1_JGI_2017-08-21_genomic	NA	49	46	64.47	3.95	45	Yes
GCA_016867655.1_JGI_2017-08-21_genomic	NA	60	57	78.95	3.95	48	Yes
GCA_016931175.1_ASM1693117v1_genomic	NA	59	58	77.63	1.32	55	Yes
GCA_017608025.1_ASM1760802v1_genomic	NA	57	51	75.00	7.89	50	Yes
GCA_017608035.1_ASM1760803v1_genomic	NA	54	41	71.05	19.74	46	Yes
GCA_017608065.1_ASM1760806v1_genomic	NA	46	39	60.53	10.53	36	Yes
GCA_017608235.1_ASM1760823v1_genomic	NA	58	56	76.32	2.63	49	Yes
GCA_017608265.1_ASM1760826v1_genomic	NA	55	31	72.37	36.84	50	Yes
GCA_017608305.1_ASM1760830v1_genomic	NA	47	46	61.84	1.32	43	Yes
GCA_017608345.1_ASM1760834v1_genomic	NA	57	55	75.00	2.63	49	Yes
GCA_017608355.1_ASM1760835v1_genomic	NA	50	38	65.79	17.11	38	Yes
GCA_017608425.1_ASM1760842v1_genomic	NA	42	36	55.26	7.89	36	Yes
GCA_017608705.1_ASM1760870v1_genomic	NA	53	49	69.74	5.26	45	Yes
GCA_017608885.1_ASM1760888v1_genomic	NA	45	44	59.21	1.32	41	Yes
GCA_017608945.1_ASM1760894v1_genomic	NA	45	44	59.21	1.32	43	Yes
GCA_017608985.1_ASM1760898v1_genomic	NA	45	45	59.21	0.00	42	Yes
GCA_017609055.1_ASM1760905v1_genomic	NA	48	47	63.16	1.32	44	Yes
GCA_017609085.1_ASM1760908v1_genomic	NA	50	49	65.79	1.32	48	Yes
GCA_017609175.1_ASM1760917v1_genomic	NA	47	46	61.84	1.32	44	Yes
GCA_017609205.1_ASM1760920v1_genomic	NA	48	47	63.16	1.32	44	Yes
GCA_017609285.1_ASM1760928v1_genomic	NA	45	43	59.21	2.63	41	Yes
GCA_017609475.1_ASM1760947v1_genomic	NA	46	45	60.53	1.32	44	Yes
GCA_017609505.1_ASM1760950v1_genomic	NA	46	40	60.53	7.89	42	Yes
GCA_017609535.1_ASM1760953v1_genomic	NA	47	46	61.84	1.32	44	Yes
GCA_017609685.1_ASM1760968v1_genomic	NA	45	40	59.21	6.58	37	Yes
GCA_017609695.1_ASM1760969v1_genomic	NA	46	44	60.53	2.63	35	Yes
GCA_017609725.1_ASM1760972v1_genomic	NA	49	48	64.47	1.32	45	Yes
GCA_017609745.1_ASM1760974v1_genomic	NA	44	43	57.89	2.63	39	Yes
GCA_017609755.1_ASM1760975v1_genomic	NA	48	47	63.16	1.32	44	Yes
GCA_017609785.1_ASM1760978v1_genomic	NA	35	29	46.05	7.89	29	Yes
GCA_017609795.1_ASM1760979v1_genomic	NA	44	43	57.89	1.32	36	Yes
GCA_017609825.1_ASM1760982v1_genomic	NA	47	43	61.84	6.58	44	Yes
GCA_017609885.1_ASM1760988v1_genomic	NA	46	45	60.53	1.32	39	Yes
GCA_017609915.1_ASM1760991v1_genomic	NA	38	38	50.00	0.00	30	Yes
GCA_017609965.1_ASM1760996v1_genomic	NA	38	37	50.00	3.95	32	Yes
GCA_017609995.1_ASM1760999v1_genomic	NA	41	39	53.95	2.63	36	Yes
GCA_017610125.1_ASM1761012v1_genomic	NA	40	32	52.63	10.53	36	Yes
GCA_017610405.1_ASM1761040v1_genomic	NA	42	42	55.26	0.00	37	Yes
GCA_017610465.1_ASM1761046v1_genomic	NA	56	50	73.68	7.89	43	Yes
GCA_017991485.1_ASM1799148v1_genomic	NA	48	48	63.16	0.00	43	Yes
GCA_018220985.1_ASM1822098v1_genomic	NA	57	55	75.00	2.63	50	Yes
GCA_018221045.1_ASM1822104v1_genomic	NA	57	56	75.00	1.32	53	Yes
GCA_018221265.1_ASM1822126v1_genomic	NA	39	37	51.32	3.95	31	Yes
GCA_018221285.1_ASM1822128v1_genomic	NA	48	45	63.16	3.95	44	Yes
GCA_018221305.1_ASM1822130v1_genomic	NA	48	46	63.16	2.63	43	Yes
GCA_018260615.1_ASM1826061v1_genomic	NA	73	71	96.05	2.63	59	Yes
GCA_018260655.1_ASM1826065v1_genomic	NA	74	72	97.37	2.63	60	Yes
GCA_018260675.1_ASM1826067v1_genomic	NA	68	66	89.47	2.63	57	Yes
GCA_018260715.1_ASM1826071v1_genomic	NA	70	69	92.11	1.32	57	Yes
GCA_018260835.1_ASM1826083v1_genomic	NA	64	64	84.21	0.00	53	Yes
GCA_018303745.1_ASM1830374v1_genomic	NA	41	40	53.95	1.32	36	Yes
GCA_018303755.1_ASM1830375v1_genomic	NA	45	44	59.21	1.32	43	Yes
GCA_018303785.1_ASM1830378v1_genomic	NA	43	43	56.58	0.00	40	Yes
GCA_018303805.1_ASM1830380v1_genomic	NA	42	42	55.26	0.00	40	Yes
GCA_018303825.1_ASM1830382v1_genomic	NA	49	49	64.47	0.00	43	Yes
GCA_018303845.1_ASM1830384v1_genomic	NA	47	47	61.84	0.00	43	Yes
GCA_018303855.1_ASM1830385v1_genomic	NA	47	46	61.84	1.32	43	Yes
GCA_018303885.1_ASM1830388v1_genomic	NA	47	47	61.84	0.00	41	Yes
GCA_018303895.1_ASM1830389v1_genomic	NA	46	45	60.53	1.32	44	Yes
GCA_018303925.1_ASM1830392v1_genomic	NA	50	49	65.79	1.32	47	Yes
GCA_018303945.1_ASM1830394v1_genomic	NA	46	46	60.53	0.00	44	Yes
GCA_018303985.1_ASM1830398v1_genomic	NA	43	42	56.58	1.32	39	Yes
GCA_018303995.1_ASM1830399v1_genomic	NA	44	44	57.89	0.00	37	Yes
GCA_018304025.1_ASM1830402v1_genomic	NA	48	48	63.16	0.00	47	Yes
GCA_018304045.1_ASM1830404v1_genomic	NA	48	48	63.16	0.00	43	Yes
GCA_018304055.1_ASM1830405v1_genomic	NA	45	42	59.21	3.95	37	Yes
GCA_018304085.1_ASM1830408v1_genomic	NA	43	43	56.58	0.00	39	Yes
GCA_018304105.1_ASM1830410v1_genomic	NA	49	49	64.47	0.00	44	Yes
GCA_018304115.1_ASM1830411v1_genomic	NA	36	35	47.37	1.32	30	Yes
GCA_018304145.1_ASM1830414v1_genomic	NA	48	48	63.16	0.00	41	Yes
GCA_018304165.1_ASM1830416v1_genomic	NA	41	40	53.95	1.32	38	Yes
GCA_018304175.1_ASM1830417v1_genomic	NA	45	45	59.21	0.00	41	Yes
GCA_018304205.1_ASM1830420v1_genomic	NA	40	40	52.63	0.00	39	Yes
GCA_018304225.1_ASM1830422v1_genomic	NA	48	46	63.16	2.63	44	Yes
GCA_018304245.1_ASM1830424v1_genomic	NA	48	47	63.16	1.32	43	Yes
GCA_018304255.1_ASM1830425v1_genomic	NA	39	33	51.32	7.89	35	Yes
GCA_018304325.1_ASM1830432v1_genomic	NA	42	42	55.26	0.00	41	Yes
GCA_018304985.1_ASM1830498v1_genomic	NA	45	45	59.21	0.00	42	Yes
GCA_018812225.1_ASM1881222v1_genomic	NA	37	37	48.68	0.00	32	Yes
GCA_018812355.1_ASM1881235v1_genomic	NA	61	59	80.26	2.63	50	Yes
GCA_018812465.1_ASM1881246v1_genomic	NA	59	57	77.63	2.63	49	Yes
GCA_018812505.1_ASM1881250v1_genomic	NA	54	50	71.05	5.26	49	Yes
GCA_018813725.1_ASM1881372v1_genomic	NA	61	58	80.26	3.95	55	Yes
GCA_018815145.1_ASM1881514v1_genomic	NA	62	57	81.58	6.58	56	Yes
GCA_018815925.1_ASM1881592v1_genomic	NA	51	49	67.11	2.63	48	Yes
GCA_018816335.1_ASM1881633v1_genomic	NA	50	49	65.79	1.32	44	Yes
GCA_018816395.1_ASM1881639v1_genomic	NA	40	39	52.63	1.32	37	Yes
GCA_018816625.1_ASM1881662v1_genomic	NA	45	43	59.21	2.63	39	Yes
GCA_018816705.1_ASM1881670v1_genomic	NA	63	62	82.89	1.32	55	Yes
GCA_018816725.1_ASM1881672v1_genomic	NA	67	64	88.16	3.95	58	Yes
GCA_018816835.1_ASM1881683v1_genomic	NA	41	40	53.95	1.32	36	Yes
GCA_018817005.1_ASM1881700v1_genomic	NA	56	53	73.68	5.26	52	Yes
GCA_018817405.1_ASM1881740v1_genomic	NA	46	46	60.53	0.00	43	Yes
GCA_018817905.1_ASM1881790v1_genomic	NA	46	46	60.53	0.00	44	Yes
GCA_018818025.1_ASM1881802v1_genomic	NA	45	44	59.21	1.32	40	Yes
GCA_018818075.1_ASM1881807v1_genomic	NA	40	39	52.63	1.32	36	Yes
GCA_018818285.1_ASM1881828v1_genomic	NA	46	44	60.53	2.63	44	Yes
GCA_018819065.1_ASM1881906v1_genomic	NA	62	58	81.58	5.26	57	Yes
GCA_018819305.1_ASM1881930v1_genomic	NA	58	55	76.32	3.95	48	Yes
GCA_018819345.1_ASM1881934v1_genomic	NA	54	53	71.05	1.32	48	Yes
GCA_018819375.1_ASM1881937v1_genomic	NA	50	50	65.79	0.00	42	Yes
GCA_018819745.1_ASM1881974v1_genomic	NA	46	46	60.53	0.00	39	Yes
GCA_018824365.1_ASM1882436v1_genomic	NA	60	58	78.95	2.63	54	Yes
GCA_018825165.1_ASM1882516v1_genomic	NA	57	54	75.00	3.95	48	Yes
GCA_018825425.1_ASM1882542v1_genomic	NA	45	41	59.21	5.26	42	Yes
GCA_018825705.1_ASM1882570v1_genomic	NA	44	41	57.89	3.95	34	Yes
GCA_018825865.1_ASM1882586v1_genomic	NA	45	44	59.21	1.32	36	Yes
GCA_018829185.1_ASM1882918v1_genomic	NA	58	55	76.32	3.95	56	Yes
GCA_018829425.1_ASM1882942v1_genomic	NA	40	40	52.63	0.00	35	Yes
GCA_018829485.1_ASM1882948v1_genomic	NA	47	46	61.84	1.32	39	Yes
GCA_018829845.1_ASM1882984v1_genomic	NA	53	52	69.74	1.32	46	Yes
GCA_018830225.1_ASM1883022v1_genomic	NA	56	54	73.68	3.95	48	Yes
GCA_018830245.1_ASM1883024v1_genomic	NA	46	45	60.53	1.32	42	Yes
GCA_018830525.1_ASM1883052v1_genomic	NA	48	47	63.16	1.32	42	Yes
GCA_018830685.1_ASM1883068v1_genomic	NA	43	43	56.58	0.00	38	Yes
GCA_018830825.1_ASM1883082v1_genomic	NA	36	33	47.37	3.95	34	Yes
GCA_018830845.1_ASM1883084v1_genomic	NA	44	43	57.89	1.32	41	Yes
GCA_018830905.1_ASM1883090v1_genomic	NA	44	43	57.89	1.32	40	Yes
GCA_018830945.1_ASM1883094v1_genomic	NA	57	55	75.00	2.63	52	Yes
GCA_018831025.1_ASM1883102v1_genomic	NA	52	52	68.42	0.00	47	Yes
GCA_018894675.1_ASM1889467v1_genomic	NA	51	49	67.11	2.63	43	Yes
GCA_018896675.1_ASM1889667v1_genomic	NA	58	57	76.32	1.32	56	Yes
GCA_018897135.1_ASM1889713v1_genomic	NA	44	43	57.89	1.32	36	Yes
GCA_018897235.1_ASM1889723v1_genomic	NA	58	56	76.32	2.63	52	Yes
GCA_018898425.1_ASM1889842v1_genomic	NA	45	44	59.21	1.32	40	Yes
GCA_018900535.1_ASM1890053v1_genomic	NA	41	38	53.95	3.95	29	Yes
GCA_018901245.1_ASM1890124v1_genomic	NA	58	53	76.32	6.58	56	Yes
GCA_018901315.1_ASM1890131v1_genomic	NA	55	51	72.37	5.26	47	Yes
GCA_018901375.1_ASM1890137v1_genomic	NA	34	34	44.74	0.00	29	Yes
GCA_018901625.1_ASM1890162v1_genomic	NA	49	47	64.47	2.63	43	Yes
GCA_018901655.1_ASM1890165v1_genomic	NA	50	50	65.79	0.00	44	Yes
GCA_018901675.1_ASM1890167v1_genomic	NA	40	39	52.63	1.32	36	Yes
GCA_019659125.1_ASM1965912v1_genomic	NA	47	46	61.84	1.32	44	Yes
GCA_019662115.1_ASM1966211v1_genomic	NA	46	45	60.53	1.32	43	Yes
GCA_020053375.1_ASM2005337v1_genomic	NA	43	42	56.58	1.32	40	Yes
GCA_020056045.1_ASM2005604v1_genomic	NA	46	43	60.53	3.95	40	Yes
GCA_020430385.1_ASM2043038v1_genomic	NA	49	46	64.47	3.95	43	Yes
GCA_020430405.1_ASM2043040v1_genomic	NA	56	55	73.68	1.32	52	Yes
GCA_020430425.1_ASM2043042v1_genomic	NA	53	51	69.74	2.63	50	Yes
GCA_020430455.1_ASM2043045v1_genomic	NA	58	57	76.32	1.32	50	Yes
GCA_020430475.1_ASM2043047v1_genomic	NA	33	33	43.42	0.00	26	Yes
GCA_020430505.1_ASM2043050v1_genomic	NA	49	49	64.47	0.00	46	Yes
GCA_020697515.1_ASM2069751v1_genomic	NA	47	47	61.84	0.00	44	Yes
